ID,remember,key_takeaways,address
18,Target value design is able to be used to determine the correct material to use based on its advantages and its cost when coming to a final objective decision.,"Finding a Budget

Choosing by Advantages

Being able to communicate with a project team effectively",It was created to address issues associated with contractors and trades working together in order to decrease the overall cost of a project that can help many.
19,The team management slides.Â Â ,"Scope Managment, Team Managment, and Stakeholder Engagement.Â ",The construction management aspect of the industry.Â 
20,I recall ways to incorporate stakeholder engagement.,"-Stakeholder engagement

-Dealing with delaysÂ 

-Scope management",TVD was created to address issues with stakeholders.Â 
21,"Stakeholders responsible for HVAC, electrical, ect do not usually want to take part in TVD processes.","-design simplicity

-buying in as a team

- importance of cohesion in the workplace and understanding the people you are working with",It is meant to keep projects within budget and on time while keeping everyone commited as a team.
22,A method of showing the value of different aspects of jobs as well as alternatives with varying costs to consider.,"Methods of getting stakeholers to work together.

How to do an advantage breakdown.

People like to save money.",People not working together effectively.
23,I thought that the overall case study and presentation was very helpful in showing the process of resolving conflicts and problems that may come with being a project manager or even an investor in a project and how to keep the project going,"Internal conflicts, how to choose the best products/materials for the situation, scope of work requirements","TVD was created to address the potential problems in a project such as timelines, decisions on products, and resolving internal conflicts between stakeholders and owners to be able to achieve projects completion on time and within the budgetsÂ "
24,"Target Value Design, helps outline the projects requirements, outline, and deadlines. This will aid in the decision making for stakeholders and project managers.","Cost management, scope management, and team management.Â ",Target Value Design was created to address decisions that need to be made when a lot of parties disagree. It helps all parties come to an agreement.Â 
25,"TVD is the overall concept, which is creating a plan to address any problems that arise during the project","1. Don't simply pick the most expensive option

2. Those who fail to plan, plan to fail

3. Different paper sizes","Problems with cost, scope, change, team, and stakeholders"
26,"Target Value Design can involve the implementation of flexible cost boundaries, where the budget for a project can flow freely among the systems of the project. This can assist with global optimization instead of focusing on local optimization.","* The goal is to increase the project's overall value without reducing expenses.

* Budget can flow freely among the systems if flexible cost boundaries are implemeted.

* Cross-stakeholder funding reallocation is necessary for resource use.","Target Value Design could have been created to address communication issues between stakeholders and owners, along with the teams and companies that are in charge of the design portion of the project. TVD can assist with transparency about advantages, benefits, preferences, and money."
27,TVD is the choosing of the best items based on their qualities,"Learning about how people disagree on the same things, how people can work together to resolve a conflict, how target value design can help resolution of material selection",TVD was made to address people who believe that their way is the best way to do something
28,"Target Value Design takes a project's potential cost and designs the project to fit within the allowable budget cost and perhaps under, which would be known as the target cost or budget. This can include methods such as Choosing by Advantages.","1. Able to differentiate the main advantage for each category.

2. Be able to design a project to have the allowable cost to be the maximum cost for a project, and have the target cost be under.

3. Setting up the TVD for the exterior walls.",Target Value Design was created to address issues with budget allocation as well as potential issues regarding stakeholder wants.
29,"One of the things I remember about TVD is that you must come in with alternatives to what you have in mind, this is to help with any changes in cost, leadership or material availability.Â ","Creating Buy-in with stakeholders, motivating stakeholders to work collaboratively and developing alternatives solutions to a problem","I think TVD was created to address the challenges of time constraints, and how at times this can prevent the final product from having the quality that was first in mind. With this in mind, they work with a cost constraint rather than how the final product will look"
30,Rank advantages to choose an optimal choice.,"Communicate with stakeholders

Choose by advantages

Consider your options","Indecisiveness, conflicting interests between parties, multiple pros and cons of a choice."
31,TVD was used to cut costs to help cut the budget. We considered what areas can get cut and which can gain but also take into consideration what the stakeholders will think.,There are many factors that need to be considered when making cost decisions in a project. There will always be someone who is upset in the decision. Itâ€™s important to include EVERYONE in each decision and process to avoid confusion.Â ,It was design to cut costs by needs not by fairness.
32,Exploring dilemmas and using decision making to solve dilemmas. TVD also showed how to motivate a team and get them to work together. TVD also showed how to prioritize and to what standards to select a method/path to follow.,"Three takeaways are choosing by advantages, prioritizing wants of the owner, and making cost-effective decisions.",TVD was created to address decision making and the assist in efficiency in decision making.
33,I remember that it is possible to determine what the needs and wants of a project are while also delivering the project within the constraints.Â ,"How to address a need vs want

How to resolve a disagreement on a project

how to deal with change during a project

Â 

Â ",This was created to address the disagreements during projects and how to resolve them while also keeping the project of schedule. It also helps when deciding what needs to be done with the budgets to allow the project to stay affordable and not go over budget.
34,I remember a lot about trying to save money and what would be the best ways to manage the project in a way that we can make the project work and still spend less money and keep everyone happy.Â ,"Spending less.,

Keeping the project workplace (workers/people) happy.

Being the most efficient and producing good quality.Â 

Â ",To complete a project with the least amount of spent money and without delaying the project or extending the schedule.Â 
35,"TVD is an approach towards conflict in a project

Â ",Key takeaways included how the perspective and approach canÂ  alter how a situation is handled and how far conflict can run through the chain of funders and such,TVD was created to address challenges within the management of a project as there tends to be conflict around every corner
36,I remember the tight schedule,NA,To help with schedule goals
37,I remember the different example we discussed such as cost management and team management.,"Three key takeaways were the team management, cost management, and stakeholder engagement.",Was intended to address the most important issues.
38,I remembered TVD mainly being about having a strong cohesive plan to present investors and help develop a complete scope of what the project is going to be so there is not much overspending and unrelated work in the project.Â ,"It is very important to have a clear plan of what your project scope is going to be. second list out everything you for completion, need, and want for a project and lastly you need to present you ideas clearly so other can understand them fully",It was created to streamline the planning process of project so invests can comfortably invest into the project as well as understand if the project is well manages or notÂ 
39,I am not sure if I remember but it was where we decide on different choices throughout a project.,"It helps in costs, quality, and time management.Â ",It was designed to address quality of work issues.Â 
40,"The proposed design for the health first hospital, funded by the Lawrence group; has a few must have criteria, like 120 beds, and want criteria, like four floors in the parking garage. In order to address the must have criteria, the design builders must work in a team (thru co-location) to settle on how the money can be appropriately used in an IPD delivery method in such a way that incorporates client needs and keeps every party happy.","1- choosing from advantages helps make everyone have input in the decision making process while finding materials that meet the most needs for the best value

2- leans are meant to make a non conservative cost analysis while ensuring the margin of cost for the general contractor stays the sameÂ 

3- it is important to prioritize the clientâ€™s must haves rather than want to havesÂ ","Address disagreement amongst stakeholders, meet needs of clients, and stay within budget for market and value costs"
41,The idea that I remember after the Target Value Design presentation is that working with people can be difficult due to the unpredictability of human nature.,"Three takeaways are fail to plan is a plan to fail, communication and transparency is key to working as a system, and working with people can be difficult due to humans unpredictable nature.",Target Value Design was created to address the lack of communication between multiple parties when working on a project.
42,Target Value Design is intended to remove any wasteful components of a project and evenly balance a project schedule to organize and output the work in the most efficient manner possible.,"Be aware of your staff's cultural and experienced surroundings.

Choose components of a project wisely to waste the least amount of time.

Manage the money firmly and ensure at least 1 person is highly trusted in recording transactions.","The challenges TVD is designed to address are cost reliability, value delivery, and continuous improvement on large capitalÂ projects.Â "
43,"Different tools to use to practice TVD effectively, like the sticky note method",NA,Problems with coersive progress towards a common goal between options
44,The choosing by advantages method is extremely important in decision making,"you can still make spaghetti without expensive ingredients

those who fail to plan, plan to fail

sometimes most expensive is not best",Work place conflict between people who are supposed to be a team
45,From what I can remember the presentation was meant to show what potential issues could arise when planning a project.The presentation has questions to be discussed on how to solve those potential issues then later discussed to the entire class on how other students came out with different answers regarding those questions.,Three key takeaways From what I understand is one stakeholders could cause a potential issue in terms of funding acquisition. Two it is important to understand how funding should be disputed between different systems/trades. Third is how saving fundingÂ  in one system/trade could greatly affect the use of resources in different systems/trade.,From what I can understand the TVD can be used as a standard teaching tool for students and people who are not very familiar working on complex and long projects. It's a simple way to teach potential issues that may arise within the industry that many people are oblivious to.Â 
46,When weighing options for a problem focus on the pros and not the cons. Then organize the pros best on importance.,"Focus on pros not cons, take into consideration more than just price, and that each project may be different based on needs.",Figuring out how to make an informed decision when deciding between alternatives to a problem.
47,I remember the process of deciding which attributes were most important with the best advantages,"1. TVD is a great way to schedule projects

2. Teams must work as a system

3. The most expensive option is not always the best",TVD was created to address challenges related to project cost and ensuring that the designed value aligns with the target cost.Â 
48,I remember TVD to be a management practice to decide on design and construction parameters that meet the project's goals.,"1. Stakeholders sometimes have conflicting wants and needs that all need to be balanced and addressed.

2. Even when a specific criteria may be the most advantageous, if the cost is too high, then it won't be used.

3. A large part of the management process is making sure all of the stakeholders are on the same page and work together.",TVD was created to select the most efficient design and construction parameters based off the needs of stakeholders.
49,NA,NA,NA
50,"Conditions of Satisfaction â€œMust-Haveâ€ Criteria â€œWant-to-Haveâ€ Criteria
The problems of a bidder and owner.Â ","Conditions of Satisfaction,â€œ Must-Haveâ€ Criteria, and â€œWant-to-Haveâ€ Criteria.",The problems of structure damage in a building and where we can fix it.
51,"TDV consists of understanding project goals, constraints, and value, ensuring adherence to the sub-budget goal, etc.","TVD provides creative input to drive efficiency and meet budget goals, Manage meeting pace and collaboration for creative design process, involving key personnel, and the template to choose the advantages","The challenges TVD was created to address, is moving with efficiency and helping achieve time efficiency. It was also created as a template as to pick the best material for the job."
52,"I recall the kitchen metaphor, it really allowed me to grasp the concept. Ensuring that you should not continue or cut corners on a project if you have no funds.","I would say three key takeaways I got from the lesson were to make sure you will profit from the beginning, stop the project completely if you canâ€™t have a quality build or have to take short cuts, and the need of good communication.",I feel TVD was created to address the problems of structural failures by cutting funding just to complete a project.
53,I remembered the hospital location challenge and why they were deciding on different cities.,"Offer different options to show cost, delivery speed and safety.

Communication with stakeholder to create buy in

Recognize ""must haves"" and ""wants""","It was created to solve a variety of problems between owners and general contractors, TVD gives insight from both sides and solutions to most common problems in communication and decision making."
54,Target Value Design can be described as being proactive with Value Engineering. It is the ability to satisy all stakeholders without succumbing to financial restraints.,"Three takeways that I learned from the lesson are:

* To recognize cost/financial restraints

* Be wary of conflicting stakeholder needs

* Work to motivate stakeholders to collaborate","One major challenge that TVD addresses is the task of satisfying all of the project stakeholders. This is impossible to do without going over budget on the project, which would dissatisfy all stakesholders."
55,it is a method of devising proper use of costs and how to utilize it to get the most profit while still getting the result to be what the owners want. this is done through cost management at the beginning of the project and how problems could be managed in the long run. this is to get the cost as close to what is estimated as possible and giving the most optimal return on the project.Â ,"1) the understanding of what target value design is

2) the benefits of the target value design

3) also the understanding of why someone would use target value design on a projectÂ ","it was created to adress problems that occur fast and without warning such as price hikes for materials, problems with the distribution of materials, or worker shortages.Â "
56,Id say the kitchen metaphor and how you can operate on a fixed budget,"Working with your budget, working with people, working with conflicting mindsets",The main one is settling arguments about whats most importat in a project and finding compromise
57,Each design specification is given a score to determine which design is best for the project.,"Focus on the advantages

Communication is key.

Focus on the value of the project, not the cost.Â ",Agreement of design specifications that may be different amongst team members; conflict resolution strategy.
58,"I understand that it implements many different forms of management that includes cost management, scope maagement, change management, team management, and stakeholder engagement.","how to get stakeholders to buy in, deciding how to make decisions whether it is for best safety or performance, and team management",i was designed to tackle conflicting opinions on the decisions that need to be made when working on projects
59,"TVD starts at the early stages of design and decision-making. It involves identifying opportunities for cost savings, efficiency improvements, and value enhancements without compromising project quality or functionality. TVD is used to consider all owner and stakeholder's needs and wants to deliver the best outcome for everyone.Â ","TVD can be used at any stage of the project.

TVD promotes communication and collaboration.

TVD helps find the best solution to an issue while staying within budget and schedule.","TVD was created to mitigate challenges during a construction project by emphasizing collaboration, efficiency, and value throughout the project. TVD optimizes project outcomes by delivering maximum value within specified budget and schedule constraints."
60,"TVD was presented as a means to foster innovation and creativity while ensuring projects remained within budget and schedule constraints. It emphasized early collaboration among stakeholders to optimize designs for cost-effectiveness without sacrificing quality or functionality. The process involved setting target values for key metrics such as cost, schedule, and quality, and then iteratively refining designs to meet these targets.

One key aspect was the involvement of all project stakeholders, including designers, contractors, and clients, in decision-making processes. This collaborative approach enabled better communication, transparency, and risk mitigation throughout the project lifecycle.","1) that we cannot compromise on quality when we are trying to stay within budget

2) communication and transparency is key

3) make sure to set clear expectations from the beginning","TVD was created to tackle the challenge of projects exceeding budget or timeline due to design decisions made without considering cost implications. It aims to align project goals with budget constraints from the start by involving all stakeholders in collaborative decision-making to optimize designs for cost-effectiveness without compromising quality or functionality.

Â 

Â 

Â "
61,I remember there are a number of scenarios that can occur and there can be multiple ways to address these issues and trying to find the best one that works for everyone is crucial.,"1. Project Expectations

2. Cost Management

3. Developing and Selecting Alternative Solutions",I think TVD was created to address different management skills and how to solve issues that arise between the project manager and the stakeholders.Â 
62,"TVD is a project delivery method that emphasizes collaboration, informed decision-making, and value-driven outcomes. It was created to address challenges in the construction industry such as cost overruns, inaccurate estimates, and frequent design changes. TVD sets cost as a design constraint rather than an outcome, aiming to improve the efficiency and effectiveness of project delivery. It promotes an incremental and trended approach to handle the pressure on preconstruction teams and makes cost, value, and constructability the drivers of design.

In the case study and presentation, we discussed how TVD and other methods like â€œChoosing by Advantagesâ€ can be applied in real-world scenarios. For instance, when selecting exterior wall systems for hospital faÃ§ades, we considered factors like economics, safety, and aesthetics. All these factors are crucial, but their relative importance depends on the specific context and priorities. This is a practical example of how TVD can guide decision-making in construction projects.","* The needs of Target Value Design.

* Methods and practices used in target value design.

* Details for evaluating problems in a complex design.","Target Value Design (TVD) addresses key challenges in the construction industry. It aims to prevent cost overruns and delays, improve accuracy of estimates, balance quality, schedule, and cost, minimize design changes, and reduce pressure on preconstruction teams. Essentially, it makes cost, value, and constructability the drivers of design.

Â "
63,"Target Value Design is the estimated design of a project, this covers different areas such as time, design, and cost","Project Design, Setting Target Costs, and Build to Target Cost","Target Value Design was created to address schedule delays, and communications problems as target value design is both involved early in the construction process and allows to easy communication between owner, cm, and workers"
64,"TVD is often incorporated in a team management manner. Thus, it helps the team address future estimations and how it should be arranged. Cost analysis is extremely important in the design phase. TVD can heighten organization and give the team a more comprehensive approach.","Choose the advatanges

Complete and compare a through cost analysis

Contribute with team, stakeholders and subcontractor relations",I feel as though TVD was designed to resolve around the challenges of design decision-making. Along with helping describe the core factors to which the project must have in order to be successful and in budget of design features and stakeholder necessities.
65,I remember that a lot of it deals with communication between parties and making sure that everyone is involved and knows what stage and area the project is on.,"cost management

team organization

Stakeholder engagement",I think it helps to fix the challenge of being prepared for problems on the project between stakeholders and owners.
66,"I remember that there are specific requirements and wants from a owner and that can be decided using TVD between the owner, GC, and stakeholders.","That the owner, GC, and stakeholders play a big role in deciding how a project turns out, and whether or not it was profitable when it comes to the schedule, design desicions, and more.",I think it was created to address both the wants/needs of the owner and the conflicting ideas/budget of the GC. It was made to come to a consensus.
67,"Target Value Design pertains to getting the best value for you project needs in accordance to your budget. It requires an active approach, where you have to observe what's not working and what is wasting resources. In the process you work together with various groups to create a project with the best quality and cost-effectiveness. It structuralized on these accords:Â 

* Cost Management

* Scope Management

* Change Management

* Team Management

* Stakeholder Management","* Stakeholder Management

* Cost Management

* Scope Management","Target Value Design was developed to help maintain a healthy project costs and promote value optimization.Â  Usually project can have overrun costs that can destroy the whole project. TVD helps create a plan that sets a proper project cost that aligns with their project needs. It helps limit excess costs. It also ties with value optimization, you add or develop valuable needs while limiting excess costs."
68,I remember that it is finding the most effect and cost-effective way to construct a project.,"Teamwork

Cost Managment

Scope Managment","It was created to address issues such as, all the diverse options in the construction industry, this allows us to easily narrow it down."
69,Just make decisions based on priorities during the design processÂ ,"Bring in the GC during design

Â 

plan for costs

Â 

CollaborationÂ ",Architects going crazy and designing something way over budget and then getting the first round of prices back over budget
70,"Target Value Design (TVD) is a collaborative approach that focuses on aligning project scope and budget from the outset to maximize value while minimizing costs.

Â ","* Early Collaboration: Engage stakeholders from the start for better alignment.

* Value-driven Approach: Prioritize features for maximum project value.

* Continuous Improvement: Embrace iterative processes for ongoing optimization.","TVD was created to tackle challenges such as cost overruns, scope creep, and inefficient project delivery by aligning project goals with available resources and fostering collaboration among project stakeholders.

Â "
71,That Target Value Design makes decision based of design and target costs. As well as multiple people are helping to make decisions and of course to prevent value engineering.,"1. Prevents value engineering to an extent

2. Prevents overbudgeting

3. Satisfied Client",The challenge that Target Value Design was created to address is to help prevent value engineering.
72,"The TVD kitchen metaphor. It was compared to a chef creating a gourmet meal within a fixed budget. The chef strategically designs the dish based on what customers are willing to pay. If they can't meet standards within the budget, they halt the project. Throughout, the chef tastes and adjusts, emphasizing iterative improvement. This highlights the importance of managing resources and planning effectively from the start in project management.","Budget wisely

Keep improving

Deliver value",The tremendous amount of pressure estimating teams are under to give accurate estimates on a time crunch.
73,Its main focus is to better improve communication between everyone and to align the values and ideas of the stakeholders better then is typically done.,"1st: I got a better understanding of the leadership roles you go through and how it should work.

2nd: I learned more about stakeholders and what their role is in a project.

3rd:Â  I learned how to be a better communicator in a company setting.",It was made to work on get stakeholders' values and ideas to align with the people who are building the project. Along with continuing to improve communication amongst parties.
74,"Target value design is a new innovative way that stakeholders might not like at first but can be very beneficial long term. TVD allows clear communication of the owners of wants and needs. Data is then created to minimize waste, value optimization and allow the project to decrease in price without losing the quality.","* TVD is new and innovative.

* Decreases waste of project without losing value and project of the owner

* Views clients wants & needs as input for design and construction.Â ",I think TVD was created to help address the wants and needs of the owner while driving down the cost of a project and not compromising the quality. This can help reduce the waste of a project and help create trust with the team and stakeholders.Â 
75,Target Value Design allows for more fluidity and adjustment during the construction and planning process.,"Every project is going to have issues, we can plan around those issues as long as we take the proper steps, and the issues that we will face always have a solution, and usually that solution is more time or money.",Money restrictions and timeframe issues.
76,"I remembered from the case study that the TVD helped combat all the dilemmas which were: cost, scope, change, team, and stakeholder management.","TVD addresses the challenges faced during a project

Stakeholders play a huge part in a project.

Cost analyses and bids are extremely important when dealing with your project's budget.",TVD was created to address challenges that will be seen when it comes to a projects cost (budget) and the length of a project (schedule).
77,"TVD is a strategy used by managers to to align project goals, scope, and budget from the outset of a project","1) Emphasis on Collaboration

2) Transparency for Cost Management

3) Value for Owners","Cost Overruns, Value Engineering, Scheduling Delays, etc.Â "
78,"In a brief summary, the owner was on a tight budget and the stakeholders wanted the money to go towards there needs. then they were provided with three exterior wall assembly analysis and then made a table for choosing by advantages, then creating a graph. to then show the owner and stakeholders.","cost managementÂ 

scope management

change management",target vale design was in my opinion created to put in place when an owner is on a tight budget. & when the stallholders are indecisive on what they want from the project.
79,It is an approach to reduce project costs and still meet objectives.,"1. Project expectations.

2. Cost targeting

3. Ensuring comprehension and successful execution of a project that satisfies allÂ  Â  Â  Â  Â stakeholders.

Â ","To assist owners and designers during the design process of a project, in order to reduce project costs or better understand realistic construction pricing in the market of the specific location of the build."
80,TVD is a process of choosing certain parts of the construction project where money can be saved and making changes to save money without sacrificing the integrity of the building,"Changing materials to save moneyÂ 

trying to save money without dissatisfaction of the clientÂ 

using the method to meet the client budget",Target value design is choosing the best pathway to gain the most performance for the money while satisfying the customer and meeting up to the current standardsÂ 
81,target value design from what we learned in class is mixing the budget of the project with the needs and wants of both the stakeholders and owner(s).,"1) it takes more than just money to motivate stakeholders

2) the decisions being made in TVD are not right or wrong

3) no one will get exactly what they want.","I think TVD was brought to the industry to open communication channels between the stakeholders and the owner. There has always been decisions being made, but I do not think everyone has always had a say."
82,It promotes a more connected construction process between the design and building aspects.,"It is important to understand the needs of the owner of the project and what the expect. Working together while compromising is most important. Make relationships with all parts of the job, design team, sub contractors, owners.Â ",I could slow the construction processÂ 
83,that it helps you complete the project on buget,"helps limit the cost.Â 

helps you to change material

helps with being able to finis the project","Â to be able to limit the cost of a project

Â "
84,"How imperative it is to have the ""must haves"" and how you can cut the costs of the ""wants""","Target value design with design assistance means bringing trade contractors early into the project and collaborating with budget pricing. Hence, there are no discrepancies when the cost goes over budget or under. Designing to the budget instead of budgeting to the design.",the budget and how you can cut costs at the beginning to meet the budget
85,"TVD is a project management approach used to align project goals, budget constraints and design outcomes within a predefined budget/cost target. There's an emphasis on collaboration among stakeholders, owners, designers, contractors and end users to optimize project value while controlling costs.","TVD emphasizes aligning project cost and schedule targets to control expenses and minimize delays. Collaboration among stakeholders is crucial for shared understanding and proactive problem-solving throughout the project lifecycle. By prioritizing value optimization and effective risk management, TVD promotes efficient execution and successful project outcomes.","TVD in construction management addresses challenges like cost overruns, schedule delays, and inefficient resource allocation. It sets clear cost and schedule targets from the outset to control expenses and minimize delays. TVD emphasizes collaboration among stakeholders to optimize value and mitigate risks by identifying and addressing potential issues early in the project lifecycle. Overall, TVD aims to foster efficient project execution, aligning goals, optimizing resources, and managing risks to deliver successful outcomes."
86,TVD is a process where a fix budget and goals to meet are the foundation for a construction bid.Â ,"Think on your feet, problem solve, and database EVERYTHING to get better results.Â ",A hard target makes hitting the bullseye very much more difficult.Â  TVD though was implemented to try to stop cost overlays and ballooning budgets.Â Â 
87,I remember the hospital example showed a new hospital was needed however the costs were over the budget. We had to decide whether or not to go through with building the new hospital or not. I decided the project should be postponed so the contractor/owner could regroup and find cheaper alternatives.,"The three takeaways I got from the TVD lesson was to review the situation, discuss alternatives, and then decide what the best options are for the project.",TVD was created to address financial security and profitability of a project and the means to complete it. If a project can't be completed within budget there will be losses and we have to figure out if it is worth the risk.
88,"Target Value Design (TVD) is a methodology aimed at achieving maximum value for a construction project while staying within budget constraints. In the case study, Topnotch Health is planning to build a new healthcare campus, facing challenges such as financial constraints, conflicting stakeholder needs, uncertainty, and the need for collaborative teamwork.","The three key takeaways from the Target Value Design (TVD) lesson are:

*

Value Optimization within Budget Constraints: TVD focuses on maximizing project value within budget limits, as seen in Topnotch Health's need to balance features with financial constraints.

*

Collaborative Stakeholder Engagement: TVD requires collaboration among stakeholders with diverse needs, emphasizing transparent communication and consensus-building.

*

Flexibility to Address Uncertainty: TVD acknowledges the need to adapt to changing circumstances, underscoring the importance of proactive risk management and agile project practices.","Overall, TVD addresses the challenges of cost management, scope management, change management, team management, and stakeholder engagement by promoting collaborative decision-making, value-driven design, and iterative planning processes throughout the project lifecycle."
89,"Target value Design is when the design of the project is trying to be completed under a certain budget while using certain practices to keep members , such as stakeholders well I formed throughout the process.","Communication is a big factor , paying attention to budget while selected the best material, Listening to the wants needs and must haves from stakeholders and creating a plan to implement something from all.","I believe it was created to address issues in the industry such as communication and delays. TVD tackles these issues and promotes better communication amongst members.

Â "
90,I remember that they had very minimal requirements that were essential needs and more of it was focused on the optional aspects.,"1. The different types of people to account forÂ 

2. The alternative solutionsÂ 

3. Health care needs",Itâ€™s used to address the needs of the people who will be using the facility or people who are effected by the project .
91,"Target Value Design is to help talk about dilemmas, and what you can do to overcome them, as well as marking what you really need, and if you can go further, complete those wants as well.","* Working together brings our thoughts together

* Outlining needs and wants helps separate priorities out

* The sooner we discuss dilemmas the better","I think TVD was created to address the challenges that we face in construction when we want to keep everyone happy, which is not feasible. So we must come up with a system where we can check off what we really need, and if we have the ability to, meet other wants as well.Â "
92,"Target value design was used throughout the case study to help with figuring out the cost of the project, and what can and cannot be afforded.","That TVD can help with delivering successful projects, help meet client expectations, and help with figuring out cost of the project.","TVD helps with cost overruns, misaligned objectives, value engineering, design integration, and continues improvement. It is designed to address the complex changes that happen in the construction industry."
93,Please refer to the previous answer,"targeted focus on certain wants/needs

how to cooperate with owners

accomplishing as much as possible with a minimal budget","Overdemanding customers that do not have the budget to meet all of their ""wants"". This helps the GC target what they canÂ "
94,"Target Value design, from the case study helped to identify the must haves for a project while also identifying the budget constraints. From their it helped resolve and bring forth dilemma's which required facts and not biased opinions or influenced objectives. which I feel made it fairly clear on which materials to select or discussions to have.Â ","How to communicate to a customer regarding budgetary constraints

Selecting / showing materials in an un biased way with advantages present

Â Graphing price comparisons between the various materials and their affects towards a project.Â ",I think it was created to address biased decisions or decisions where the customers eyes are larger than their actual budget.Â 
95,"In TVD, coming to a decision must be a team effort","Everyone contributes

It finds the best solution

It is a fair solution",Different ways to approach a problem
